"Tabela 6909 - Moradores em domicílios particulares permanentes ocupados, por existência de canalização de água e a principal forma de abastecimento de água, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas)"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Ano x Principal forma de abastecimento de água x Existência de canalização de água"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"2022"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";;;;"Rede geral de distribuição";;;;"Poço profundo ou artesiano";;;;"Poço raso, freático ou cacimba";;;;"Fonte, nascente ou mina";;;;"Carro-pipa";;;;"Água da chuva armazenada";;;;"Rios, açudes, córregos, lagos e igarapés";;;;"Outra"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada"
"UF";"33";"Rio de Janeiro";"Total";"Total";"15991284";"15470366";"341651";"179267";"13452594";"13244453";"208141";"-";"1713175";"1510292";"91625";"111258";"263961";"233283";"15822";"14856";"338057";"325488";"6828";"5741";"86860";"64322";"7095";"15443";"7542";"4291";"949";"2302";"19395";"17930";"654";"811";"109700";"70307";"10537";"28856"
"UF";"33";"Rio de Janeiro";"Total";"Branca";"6718307";"6566546";"99817";"51944";"5813531";"5752637";"60894";"-";"584926";"524248";"27200";"33478";"91533";"82589";"4511";"4433";"160486";"156020";"2269";"2197";"29816";"23073";"2077";"4666";"2433";"1628";"250";"555";"7683";"7211";"167";"305";"27899";"19140";"2449";"6310"
"UF";"33";"Rio de Janeiro";"Total";"Preta";"2580603";"2475462";"69309";"35832";"2151913";"2108674";"43239";"-";"293601";"255465";"17355";"20781";"44768";"38796";"2952";"3020";"45129";"42801";"1292";"1036";"15511";"11002";"1468";"3041";"1532";"722";"245";"565";"2989";"2706";"159";"124";"25160";"15296";"2599";"7265"
"UF";"33";"Rio de Janeiro";"Total";"Amarela";"21775";"21142";"394";"239";"19160";"18935";"225";"-";"1800";"1504";"127";"169";"217";"174";"17";"26";"417";"396";"15";"6";"87";"69";"6";"12";"10";"5";"-";"5";"23";"22";"-";"1";"61";"37";"4";"20"
"UF";"33";"Rio de Janeiro";"Total";"Parda";"6654246";"6392123";"171151";"90972";"5454886";"5351399";"103487";"-";"831269";"727699";"46857";"56713";"127168";"111492";"8328";"7348";"130992";"125809";"2734";"2449";"41245";"30068";"3498";"7679";"3556";"1931";"452";"1173";"8681";"7976";"328";"377";"56449";"35749";"5467";"15233"
"UF";"33";"Rio de Janeiro";"Total";"Indígena";"15835";"14587";"971";"277";"12644";"12353";"291";"-";"1548";"1348";"84";"116";"266";"225";"12";"29";"1023";"452";"518";"53";"201";"110";"46";"45";"10";"5";"2";"3";"18";"14";"-";"4";"125";"80";"18";"27"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Total";"874734";"839892";"23021";"11821";"720275";"706093";"14182";"-";"103493";"90748";"5881";"6864";"15789";"13767";"1042";"980";"19811";"18993";"487";"331";"5730";"4101";"494";"1135";"397";"201";"55";"141";"1166";"1060";"60";"46";"8073";"4929";"820";"2324"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Branca";"383829";"372338";"7648";"3843";"322910";"318108";"4802";"-";"40033";"35622";"1994";"2417";"5767";"5154";"301";"312";"9839";"9570";"134";"135";"2186";"1670";"157";"359";"142";"82";"21";"39";"530";"493";"21";"16";"2422";"1639";"218";"565"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Preta";"106288";"100995";"3539";"1754";"87832";"85593";"2239";"-";"12385";"10714";"764";"907";"1901";"1568";"175";"158";"1874";"1743";"76";"55";"716";"455";"95";"166";"55";"26";"8";"21";"124";"105";"14";"5";"1401";"791";"168";"442"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Amarela";"840";"798";"30";"12";"713";"694";"19";"-";"85";"69";"11";"5";"10";"7";"-";"3";"19";"19";"-";"-";"7";"6";"-";"1";"-";"-";"-";"-";"1";"1";"-";"-";"5";"2";"-";"3"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Parda";"383256";"365370";"11691";"6195";"308502";"301390";"7112";"-";"50944";"44305";"3109";"3530";"8105";"7033";"566";"506";"7956";"7635";"186";"135";"2799";"1961";"234";"604";"200";"93";"26";"81";"511";"461";"25";"25";"4239";"2492";"433";"1314"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Indígena";"500";"370";"113";"17";"298";"288";"10";"-";"45";"37";"3";"5";"6";"5";"-";"1";"123";"26";"91";"6";"22";"9";"8";"5";"-";"-";"-";"-";"-";"-";"-";"-";"6";"5";"1";"-"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Total";"1014589";"975796";"25546";"13247";"838510";"822879";"15631";"-";"119715";"105084";"6710";"7921";"17717";"15601";"1064";"1052";"21648";"20743";"505";"400";"6283";"4558";"544";"1181";"485";"230";"67";"188";"1305";"1172";"70";"63";"8926";"5529";"955";"2442"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Branca";"398879";"387869";"7250";"3760";"337964";"333585";"4379";"-";"40326";"35936";"1995";"2395";"5857";"5274";"294";"289";"9727";"9420";"173";"134";"2172";"1688";"141";"343";"150";"81";"27";"42";"473";"430";"24";"19";"2210";"1455";"217";"538"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Preta";"139089";"132554";"4424";"2111";"115419";"112602";"2817";"-";"16208";"14015";"1034";"1159";"2366";"2011";"172";"183";"2355";"2214";"76";"65";"860";"581";"87";"192";"87";"32";"21";"34";"173";"152";"10";"11";"1621";"947";"207";"467"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Amarela";"1023";"980";"31";"12";"904";"888";"16";"-";"83";"68";"9";"6";"12";"5";"4";"3";"16";"15";"1";"-";"5";"2";"1";"2";"-";"-";"-";"-";"1";"1";"-";"-";"2";"1";"-";"1"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Parda";"474955";"453872";"13738";"7345";"383795";"375396";"8399";"-";"63028";"55005";"3668";"4355";"9472";"8302";"594";"576";"9447";"9068";"186";"193";"3221";"2275";"306";"640";"248";"117";"19";"112";"658";"589";"36";"33";"5086";"3120";"530";"1436"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Indígena";"622";"500";"103";"19";"409";"389";"20";"-";"69";"59";"4";"6";"10";"9";"-";"1";"103";"26";"69";"8";"25";"12";"9";"4";"-";"-";"-";"-";"-";"-";"-";"-";"6";"5";"1";"-"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Total";"963548";"927534";"23814";"12200";"795699";"781306";"14393";"-";"113801";"100019";"6352";"7430";"17023";"14903";"1105";"1015";"21399";"20555";"485";"359";"5858";"4252";"522";"1084";"459";"224";"87";"148";"1309";"1220";"41";"48";"8000";"5055";"829";"2116"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Branca";"364870";"355187";"6427";"3256";"309479";"305550";"3929";"-";"36686";"32792";"1775";"2119";"5347";"4788";"266";"293";"9091";"8833";"139";"119";"1859";"1455";"117";"287";"112";"64";"19";"29";"449";"432";"5";"12";"1847";"1273";"177";"397"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Preta";"140299";"134099";"4086";"2114";"116143";"113618";"2525";"-";"16333";"14138";"992";"1203";"2461";"2130";"180";"151";"2500";"2356";"78";"66";"973";"691";"95";"187";"82";"32";"26";"24";"184";"167";"8";"9";"1623";"967";"182";"474"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Amarela";"1065";"1028";"20";"17";"924";"910";"14";"-";"107";"91";"4";"12";"7";"5";"1";"1";"18";"17";"-";"1";"2";"2";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"6";"2";"1";"3"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Parda";"456608";"436633";"13182";"6793";"368661";"360752";"7909";"-";"60602";"52933";"3579";"4090";"9196";"7969";"658";"569";"9680";"9317";"197";"166";"3010";"2102";"304";"604";"264";"127";"42";"95";"676";"621";"28";"27";"4519";"2812";"465";"1242"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Indígena";"681";"562";"99";"20";"472";"456";"16";"-";"69";"61";"2";"6";"11";"10";"-";"1";"110";"32";"71";"7";"14";"2";"6";"6";"-";"-";"-";"-";"-";"-";"-";"-";"5";"1";"4";"-"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Total";"1009836";"972546";"24718";"12572";"835212";"819884";"15328";"-";"118517";"104429";"6458";"7630";"17822";"15662";"1099";"1061";"22358";"21498";"471";"389";"5887";"4297";"475";"1115";"446";"248";"62";"136";"1299";"1200";"39";"60";"8295";"5328";"786";"2181"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Branca";"379447";"369459";"6664";"3324";"322053";"317920";"4133";"-";"37661";"33801";"1768";"2092";"5664";"5087";"269";"308";"9556";"9321";"129";"106";"1906";"1447";"147";"312";"139";"90";"16";"33";"432";"402";"7";"23";"2036";"1391";"195";"450"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Preta";"169516";"161978";"5006";"2532";"140189";"137078";"3111";"-";"19989";"17291";"1271";"1427";"3044";"2593";"230";"221";"3097";"2933";"88";"76";"1041";"724";"97";"220";"98";"38";"19";"41";"218";"199";"12";"7";"1840";"1122";"178";"540"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Amarela";"1093";"1062";"21";"10";"947";"936";"11";"-";"96";"81";"8";"7";"11";"9";"-";"2";"25";"23";"2";"-";"6";"6";"-";"-";"-";"-";"-";"-";"4";"4";"-";"-";"4";"3";"-";"1"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Parda";"458987";"439375";"12927";"6685";"371457";"363403";"8054";"-";"60690";"53187";"3403";"4100";"9089";"7964";"599";"526";"9569";"9187";"182";"200";"2921";"2113";"230";"578";"209";"120";"27";"62";"645";"595";"20";"30";"4407";"2806";"412";"1189"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Indígena";"772";"651";"100";"21";"550";"531";"19";"-";"77";"65";"8";"4";"14";"9";"1";"4";"110";"33";"70";"7";"13";"7";"1";"5";"-";"-";"-";"-";"-";"-";"-";"-";"8";"6";"1";"1"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Total";"1140370";"1100032";"26734";"13604";"953512";"937081";"16431";"-";"127792";"112256";"7185";"8351";"18858";"16627";"1079";"1152";"23168";"22280";"489";"399";"6219";"4536";"552";"1131";"478";"243";"67";"168";"1383";"1273";"63";"47";"8960";"5736";"868";"2356"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Branca";"434383";"423531";"7218";"3634";"372442";"367998";"4444";"-";"41060";"36758";"1987";"2315";"6032";"5424";"279";"329";"10149";"9863";"139";"147";"1932";"1460";"153";"319";"143";"88";"18";"37";"490";"455";"13";"22";"2135";"1485";"185";"465"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Preta";"209069";"200044";"6001";"3024";"174629";"170808";"3821";"-";"23751";"20538";"1479";"1734";"3455";"3000";"212";"243";"3387";"3216";"95";"76";"1259";"839";"139";"281";"115";"51";"17";"47";"221";"201";"17";"3";"2252";"1391";"221";"640"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Amarela";"1383";"1323";"29";"31";"1206";"1184";"22";"-";"126";"97";"7";"22";"23";"18";"-";"5";"11";"11";"-";"-";"13";"11";"-";"2";"2";"1";"-";"1";"-";"-";"-";"-";"2";"1";"-";"1"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Parda";"494577";"474276";"13408";"6893";"404489";"396365";"8124";"-";"62771";"54790";"3708";"4273";"9329";"8170";"587";"572";"9535";"9161";"204";"170";"3003";"2218";"259";"526";"217";"103";"32";"82";"670";"616";"33";"21";"4563";"2853";"461";"1249"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Indígena";"927";"827";"78";"22";"715";"695";"20";"-";"84";"73";"4";"7";"19";"15";"1";"3";"86";"29";"51";"6";"12";"8";"1";"3";"1";"-";"-";"1";"2";"1";"-";"1";"8";"6";"1";"1"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Total";"1151010";"1112453";"25474";"13083";"969788";"954114";"15674";"-";"124179";"109311";"6784";"8084";"17933";"15875";"1084";"974";"22498";"21640";"470";"388";"6366";"4685";"516";"1165";"455";"256";"68";"131";"1225";"1121";"58";"46";"8566";"5451";"820";"2295"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Branca";"442163";"431986";"6731";"3446";"383452";"379311";"4141";"-";"38741";"34678";"1852";"2211";"5597";"5079";"268";"250";"9779";"9516";"122";"141";"2003";"1545";"125";"333";"121";"87";"9";"25";"441";"415";"11";"15";"2029";"1355";"203";"471"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Preta";"215476";"206407";"6079";"2990";"179892";"176066";"3826";"-";"24798";"21535";"1512";"1751";"3504";"3054";"223";"227";"3461";"3271";"120";"70";"1239";"885";"123";"231";"112";"46";"28";"38";"216";"189";"19";"8";"2254";"1361";"228";"665"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Amarela";"1473";"1415";"35";"23";"1270";"1251";"19";"-";"152";"118";"14";"20";"15";"13";"1";"1";"23";"23";"-";"-";"8";"6";"1";"1";"-";"-";"-";"-";"2";"2";"-";"-";"3";"2";"-";"1"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Parda";"490703";"471528";"12571";"6604";"404188";"396513";"7675";"-";"60387";"52892";"3400";"4095";"8798";"7713";"592";"493";"9169";"8802";"194";"173";"3103";"2245";"262";"596";"222";"123";"31";"68";"564";"513";"28";"23";"4272";"2727";"389";"1156"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Indígena";"1154";"1077";"57";"20";"946";"934";"12";"-";"101";"88";"6";"7";"19";"16";"-";"3";"66";"28";"34";"4";"13";"4";"5";"4";"-";"-";"-";"-";"1";"1";"-";"-";"8";"6";"-";"2"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Total";"1154609";"1118092";"24399";"12118";"978532";"963382";"15150";"-";"120043";"106187";"6338";"7518";"17443";"15442";"1064";"937";"22588";"21751";"457";"380";"6345";"4782";"507";"1056";"481";"253";"65";"163";"1302";"1211";"43";"48";"7875";"5084";"775";"2016"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Branca";"454415";"444664";"6521";"3230";"396286";"392231";"4055";"-";"37763";"33974";"1720";"2069";"5744";"5183";"296";"265";"10095";"9834";"129";"132";"2049";"1608";"143";"298";"127";"80";"17";"30";"475";"451";"9";"15";"1876";"1303";"152";"421"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Preta";"209348";"201200";"5513";"2635";"175648";"172116";"3532";"-";"23212";"20407";"1305";"1500";"3400";"2996";"205";"199";"3517";"3337";"105";"75";"1205";"840";"120";"245";"122";"50";"22";"50";"234";"214";"10";"10";"2010";"1240";"214";"556"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Amarela";"1763";"1722";"27";"14";"1572";"1561";"11";"-";"136";"113";"14";"9";"12";"10";"-";"2";"25";"23";"1";"1";"10";"8";"-";"2";"-";"-";"-";"-";"2";"2";"-";"-";"6";"5";"1";"-"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Parda";"487835";"469346";"12269";"6220";"403995";"396464";"7531";"-";"58818";"51600";"3291";"3927";"8276";"7245";"561";"470";"8886";"8527";"190";"169";"3064";"2316";"239";"509";"232";"123";"26";"83";"589";"542";"24";"23";"3975";"2529";"407";"1039"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Indígena";"1202";"1115";"68";"19";"989";"968";"21";"-";"111";"90";"8";"13";"10";"8";"1";"1";"65";"30";"32";"3";"17";"10";"5";"2";"-";"-";"-";"-";"2";"2";"-";"-";"8";"7";"1";"-"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Total";"1209083";"1171819";"24451";"12813";"1024777";"1009644";"15133";"-";"126304";"111576";"6526";"8202";"17869";"15853";"996";"1020";"23899";"23024";"456";"419";"6915";"5255";"529";"1131";"468";"271";"67";"130";"1325";"1240";"40";"45";"7526";"4956";"704";"1866"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Branca";"482293";"471907";"6864";"3522";"420659";"416430";"4229";"-";"40333";"36206";"1873";"2254";"5863";"5274";"284";"305";"10720";"10393";"151";"176";"2329";"1822";"154";"353";"141";"92";"17";"32";"477";"453";"8";"16";"1771";"1237";"148";"386"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Preta";"214062";"205853";"5424";"2785";"179652";"176187";"3465";"-";"23928";"20906";"1322";"1700";"3358";"2930";"196";"232";"3581";"3410";"98";"73";"1340";"1009";"111";"220";"106";"57";"15";"34";"240";"221";"12";"7";"1857";"1133";"205";"519"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Amarela";"2014";"1971";"26";"17";"1796";"1782";"14";"-";"151";"128";"9";"14";"12";"11";"1";"-";"41";"37";"1";"3";"9";"9";"-";"-";"-";"-";"-";"-";"2";"2";"-";"-";"3";"2";"1";"-"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Parda";"509316";"490772";"12071";"6473";"421524";"414123";"7401";"-";"61761";"54224";"3310";"4227";"8615";"7619";"515";"481";"9489";"9142";"181";"166";"3224";"2406";"263";"555";"220";"122";"34";"64";"603";"561";"20";"22";"3880";"2575";"347";"958"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Indígena";"1336";"1258";"63";"15";"1096";"1075";"21";"-";"124";"106";"12";"6";"21";"19";"-";"2";"65";"39";"25";"1";"13";"9";"1";"3";"1";"-";"1";"-";"3";"3";"-";"-";"13";"7";"3";"3"
"UF";"33";"Rio de Janeiro";"40 a 44 anos";"Total";"1288484";"1247893";"26376";"14215";"1087456";"1071281";"16175";"-";"138248";"122073";"7070";"9105";"19536";"17186";"1196";"1154";"25974";"25034";"510";"430";"7135";"5331";"591";"1213";"523";"294";"72";"157";"1498";"1366";"53";"79";"8114";"5328";"709";"2077"
"UF";"33";"Rio de Janeiro";"40 a 44 anos";"Branca";"522146";"510847";"7396";"3903";"453662";"449140";"4522";"-";"44867";"40259";"2001";"2607";"6460";"5796";"347";"317";"12062";"11744";"165";"153";"2370";"1873";"173";"324";"153";"106";"19";"28";"610";"560";"17";"33";"1962";"1369";"152";"441"
"UF";"33";"Rio de Janeiro";"40 a 44 anos";"Preta";"223927";"215028";"5815";"3084";"186680";"182999";"3681";"-";"25952";"22685";"1445";"1822";"3771";"3249";"245";"277";"3831";"3636";"95";"100";"1356";"965";"129";"262";"106";"50";"15";"41";"247";"224";"12";"11";"1984";"1220";"193";"571"
"UF";"33";"Rio de Janeiro";"40 a 44 anos";"Amarela";"2027";"1966";"35";"26";"1811";"1785";"26";"-";"152";"130";"6";"16";"14";"12";"1";"1";"31";"29";"1";"1";"6";"3";"1";"2";"3";"2";"-";"1";"1";"1";"-";"-";"9";"4";"-";"5"
"UF";"33";"Rio de Janeiro";"40 a 44 anos";"Parda";"538929";"518678";"13064";"7187";"444099";"436183";"7916";"-";"67135";"58870";"3613";"4652";"9264";"8107";"601";"556";"9983";"9585";"222";"176";"3395";"2485";"286";"624";"261";"136";"38";"87";"640";"581";"24";"35";"4152";"2731";"364";"1057"
"UF";"33";"Rio de Janeiro";"40 a 44 anos";"Indígena";"1413";"1333";"66";"14";"1166";"1136";"30";"-";"142";"129";"5";"8";"26";"21";"2";"3";"65";"38";"27";"-";"8";"5";"2";"1";"-";"-";"-";"-";"-";"-";"-";"-";"6";"4";"-";"2"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Total";"1105308";"1069950";"22989";"12369";"927260";"913489";"13771";"-";"120749";"106500";"6443";"7806";"18275";"16220";"1057";"998";"23813";"22997";"426";"390";"6150";"4559";"525";"1066";"548";"321";"64";"163";"1334";"1239";"39";"56";"7179";"4625";"664";"1890"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Branca";"451885";"441822";"6543";"3520";"390266";"386388";"3878";"-";"39947";"35708";"1886";"2353";"6101";"5554";"284";"263";"11075";"10778";"151";"146";"2015";"1564";"159";"292";"169";"111";"16";"42";"512";"484";"4";"24";"1800";"1235";"165";"400"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Preta";"188576";"181100";"4808";"2668";"156571";"153624";"2947";"-";"21791";"18950";"1272";"1569";"3386";"2959";"208";"219";"3508";"3345";"89";"74";"1208";"872";"108";"228";"117";"64";"10";"43";"208";"192";"7";"9";"1787";"1094";"167";"526"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Amarela";"1614";"1578";"27";"9";"1433";"1422";"11";"-";"128";"109";"13";"6";"13";"12";"-";"1";"28";"25";"3";"-";"4";"4";"-";"-";"1";"-";"-";"1";"3";"3";"-";"-";"4";"3";"-";"1"
