"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"MU";"3302858";"Mesquita (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"57543";"53953";"2343";"90";"831";"68";"18";"16";"224"
"MU";"3302858";"Mesquita (RJ)";"Canalizada, mas apenas no terreno";"3570";"3053";"323";"30";"52";"15";"13";"14";"70"
"MU";"3302858";"Mesquita (RJ)";"Sem água canalizada";"1498";"-";"648";"51";"88";"57";"11";"24";"619"
"MU";"3302908";"Miguel Pereira (RJ)";"Total";"10250";"7193";"1314";"860";"815";"2";"-";"62";"4"
"MU";"3302908";"Miguel Pereira (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"10204";"7187";"1306";"847";"803";"2";"-";"59";"-"
"MU";"3302908";"Miguel Pereira (RJ)";"Canalizada, mas apenas no terreno";"27";"6";"4";"6";"9";"-";"-";"1";"1"
"MU";"3302908";"Miguel Pereira (RJ)";"Sem água canalizada";"19";"-";"4";"7";"3";"-";"-";"2";"3"
"MU";"3303005";"Miracema (RJ)";"Total";"9601";"8434";"869";"98";"182";"-";"-";"-";"18"
"MU";"3303005";"Miracema (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"9544";"8431";"837";"92";"180";"-";"-";"-";"4"
"MU";"3303005";"Miracema (RJ)";"Canalizada, mas apenas no terreno";"32";"3";"20";"4";"1";"-";"-";"-";"4"
"MU";"3303005";"Miracema (RJ)";"Sem água canalizada";"25";"-";"12";"2";"1";"-";"-";"-";"10"
"MU";"3303104";"Natividade (RJ)";"Total";"5691";"4647";"569";"39";"375";"9";"2";"42";"8"
"MU";"3303104";"Natividade (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"5679";"4644";"565";"39";"373";"9";"2";"42";"5"
"MU";"3303104";"Natividade (RJ)";"Canalizada, mas apenas no terreno";"7";"3";"2";"-";"2";"-";"-";"-";"-"
"MU";"3303104";"Natividade (RJ)";"Sem água canalizada";"5";"-";"2";"-";"-";"-";"-";"-";"3"
"MU";"3303203";"Nilópolis (RJ)";"Total";"57005";"52446";"4208";"86";"34";"45";"5";"3";"178"
"MU";"3303203";"Nilópolis (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"53098";"49554";"3357";"50";"26";"26";"1";"1";"83"
"MU";"3303203";"Nilópolis (RJ)";"Canalizada, mas apenas no terreno";"3281";"2892";"334";"25";"7";"4";"1";"1";"17"
"MU";"3303203";"Nilópolis (RJ)";"Sem água canalizada";"626";"-";"517";"11";"1";"15";"3";"1";"78"
"MU";"3303302";"Niterói (RJ)";"Total";"194492";"190529";"2763";"423";"94";"298";"38";"16";"331"
"MU";"3303302";"Niterói (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"192360";"189061";"2468";"353";"66";"228";"21";"14";"149"
"MU";"3303302";"Niterói (RJ)";"Canalizada, mas apenas no terreno";"1719";"1468";"144";"37";"10";"12";"4";"-";"44"
"MU";"3303302";"Niterói (RJ)";"Sem água canalizada";"413";"-";"151";"33";"18";"58";"13";"2";"138"
"MU";"3303401";"Nova Friburgo (RJ)";"Total";"76597";"59825";"5100";"404";"11132";"31";"21";"42";"42"
"MU";"3303401";"Nova Friburgo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"76361";"59753";"5046";"390";"11055";"28";"19";"40";"30"
"MU";"3303401";"Nova Friburgo (RJ)";"Canalizada, mas apenas no terreno";"163";"72";"23";"7";"57";"-";"-";"-";"4"
"MU";"3303401";"Nova Friburgo (RJ)";"Sem água canalizada";"73";"-";"31";"7";"20";"3";"2";"2";"8"
"MU";"3303500";"Nova Iguaçu (RJ)";"Total";"287615";"195171";"79531";"4730";"810";"2358";"204";"158";"4653"
"MU";"3303500";"Nova Iguaçu (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"266294";"190959";"65764";"3733";"608";"1956";"99";"139";"3036"
"MU";"3303500";"Nova Iguaçu (RJ)";"Canalizada, mas apenas no terreno";"12390";"4212";"7108";"331";"65";"181";"16";"5";"472"
"MU";"3303500";"Nova Iguaçu (RJ)";"Sem água canalizada";"8931";"-";"6659";"666";"137";"221";"89";"14";"1145"
"MU";"3303609";"Paracambi (RJ)";"Total";"16107";"9708";"4739";"384";"1156";"12";"8";"19";"81"
"MU";"3303609";"Paracambi (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"15496";"9460";"4509";"342";"1083";"10";"5";"19";"68"
"MU";"3303609";"Paracambi (RJ)";"Canalizada, mas apenas no terreno";"414";"248";"95";"21";"45";"1";"1";"-";"3"
"MU";"3303609";"Paracambi (RJ)";"Sem água canalizada";"197";"-";"135";"21";"28";"1";"2";"-";"10"
"MU";"3303708";"Paraíba do Sul (RJ)";"Total";"15203";"13805";"435";"239";"661";"16";"4";"27";"16"
"MU";"3303708";"Paraíba do Sul (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"14979";"13771";"369";"217";"575";"15";"2";"25";"5"
"MU";"3303708";"Paraíba do Sul (RJ)";"Canalizada, mas apenas no terreno";"166";"34";"51";"17";"61";"-";"-";"-";"3"
"MU";"3303708";"Paraíba do Sul (RJ)";"Sem água canalizada";"58";"-";"15";"5";"25";"1";"2";"2";"8"
"MU";"3303807";"Paraty (RJ)";"Total";"16138";"10244";"63";"35";"5632";"3";"5";"45";"111"
"MU";"3303807";"Paraty (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"15966";"10224";"37";"30";"5525";"2";"4";"42";"102"
"MU";"3303807";"Paraty (RJ)";"Canalizada, mas apenas no terreno";"114";"20";"5";"1";"82";"1";"-";"1";"4"
"MU";"3303807";"Paraty (RJ)";"Sem água canalizada";"58";"-";"21";"4";"25";"-";"1";"2";"5"
"MU";"3303856";"Paty do Alferes (RJ)";"Total";"10881";"6592";"953";"1649";"1637";"21";"4";"3";"22"
"MU";"3303856";"Paty do Alferes (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"10837";"6586";"939";"1638";"1635";"21";"3";"2";"13"
"MU";"3303856";"Paty do Alferes (RJ)";"Canalizada, mas apenas no terreno";"20";"6";"4";"8";"-";"-";"-";"1";"1"
"MU";"3303856";"Paty do Alferes (RJ)";"Sem água canalizada";"24";"-";"10";"3";"2";"-";"1";"-";"8"
"MU";"3303906";"Petrópolis (RJ)";"Total";"108238";"78945";"7914";"2878";"17925";"175";"44";"257";"100"
"MU";"3303906";"Petrópolis (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"107053";"78797";"7662";"2816";"17279";"151";"32";"250";"66"
"MU";"3303906";"Petrópolis (RJ)";"Canalizada, mas apenas no terreno";"649";"148";"181";"45";"260";"4";"-";"3";"8"
"MU";"3303906";"Petrópolis (RJ)";"Sem água canalizada";"536";"-";"71";"17";"386";"20";"12";"4";"26"
"MU";"3303955";"Pinheiral (RJ)";"Total";"8814";"8107";"426";"83";"170";"1";"2";"-";"25"
"MU";"3303955";"Pinheiral (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"8758";"8087";"417";"77";"167";"-";"1";"-";"9"
"MU";"3303955";"Pinheiral (RJ)";"Canalizada, mas apenas no terreno";"26";"20";"3";"2";"-";"-";"-";"-";"1"
"MU";"3303955";"Pinheiral (RJ)";"Sem água canalizada";"30";"-";"6";"4";"3";"1";"1";"-";"15"
"MU";"3304003";"Piraí (RJ)";"Total";"10089";"8760";"509";"234";"503";"41";"1";"16";"25"
"MU";"3304003";"Piraí (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"9930";"8721";"473";"215";"451";"36";"-";"15";"19"
"MU";"3304003";"Piraí (RJ)";"Canalizada, mas apenas no terreno";"48";"39";"2";"5";"2";"-";"-";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Sem água canalizada";"111";"-";"34";"14";"50";"5";"1";"1";"6"
"MU";"3304102";"Porciúncula (RJ)";"Total";"6421";"5040";"513";"142";"708";"2";"2";"12";"2"
"MU";"3304102";"Porciúncula (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"6386";"5031";"499";"142";"698";"2";"1";"12";"1"
"MU";"3304102";"Porciúncula (RJ)";"Canalizada, mas apenas no terreno";"28";"9";"11";"-";"8";"-";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Sem água canalizada";"7";"-";"3";"-";"2";"-";"1";"-";"1"
"MU";"3304110";"Porto Real (RJ)";"Total";"7187";"7075";"52";"39";"13";"2";"-";"-";"6"
"MU";"3304110";"Porto Real (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"7169";"7066";"51";"37";"12";"-";"-";"-";"3"
"MU";"3304110";"Porto Real (RJ)";"Canalizada, mas apenas no terreno";"12";"9";"1";"1";"1";"-";"-";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Sem água canalizada";"6";"-";"-";"1";"-";"2";"-";"-";"3"
"MU";"3304128";"Quatis (RJ)";"Total";"5035";"4348";"240";"179";"213";"4";"3";"43";"5"
"MU";"3304128";"Quatis (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"4851";"4338";"214";"111";"144";"-";"1";"42";"1"
"MU";"3304128";"Quatis (RJ)";"Canalizada, mas apenas no terreno";"33";"10";"6";"14";"2";"-";"-";"-";"1"
"MU";"3304128";"Quatis (RJ)";"Sem água canalizada";"151";"-";"20";"54";"67";"4";"2";"1";"3"
"MU";"3304144";"Queimados (RJ)";"Total";"51217";"39663";"8709";"1994";"181";"142";"17";"7";"504"
"MU";"3304144";"Queimados (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"49265";"39151";"7798";"1774";"127";"110";"9";"6";"290"
"MU";"3304144";"Queimados (RJ)";"Canalizada, mas apenas no terreno";"1404";"512";"638";"165";"15";"10";"2";"-";"62"
"MU";"3304144";"Queimados (RJ)";"Sem água canalizada";"548";"-";"273";"55";"39";"22";"6";"1";"152"
"MU";"3304151";"Quissamã (RJ)";"Total";"8099";"5847";"1218";"708";"13";"284";"1";"2";"26"
"MU";"3304151";"Quissamã (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"7953";"5791";"1177";"681";"12";"275";"-";"2";"15"
"MU";"3304151";"Quissamã (RJ)";"Canalizada, mas apenas no terreno";"102";"56";"25";"14";"-";"5";"-";"-";"2"
"MU";"3304151";"Quissamã (RJ)";"Sem água canalizada";"44";"-";"16";"13";"1";"4";"1";"-";"9"
"MU";"3304201";"Resende (RJ)";"Total";"48207";"46283";"186";"78";"1317";"53";"3";"238";"49"
"MU";"3304201";"Resende (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"48074";"46222";"168";"73";"1300";"49";"2";"237";"23"
"MU";"3304201";"Resende (RJ)";"Canalizada, mas apenas no terreno";"88";"61";"10";"1";"12";"-";"-";"-";"4"
"MU";"3304201";"Resende (RJ)";"Sem água canalizada";"45";"-";"8";"4";"5";"4";"1";"1";"22"
"MU";"3304300";"Rio Bonito (RJ)";"Total";"21187";"10469";"8257";"700";"1504";"17";"6";"169";"65"
"MU";"3304300";"Rio Bonito (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"20270";"10387";"7558";"646";"1459";"13";"5";"166";"36"
"MU";"3304300";"Rio Bonito (RJ)";"Canalizada, mas apenas no terreno";"279";"82";"150";"32";"11";"1";"1";"-";"2"
"MU";"3304300";"Rio Bonito (RJ)";"Sem água canalizada";"638";"-";"549";"22";"34";"3";"-";"3";"27"
"MU";"3304409";"Rio Claro (RJ)";"Total";"6415";"4759";"299";"156";"1146";"-";"-";"50";"5"
"MU";"3304409";"Rio Claro (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"6256";"4753";"283";"121";"1052";"-";"-";"46";"1"
"MU";"3304409";"Rio Claro (RJ)";"Canalizada, mas apenas no terreno";"34";"6";"7";"6";"15";"-";"-";"-";"-"
"MU";"3304409";"Rio Claro (RJ)";"Sem água canalizada";"125";"-";"9";"29";"79";"-";"-";"4";"4"
"MU";"3304508";"Rio das Flores (RJ)";"Total";"3122";"2664";"142";"13";"292";"4";"-";"5";"2"
"MU";"3304508";"Rio das Flores (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"3117";"2663";"141";"13";"289";"4";"-";"5";"2"
"MU";"3304508";"Rio das Flores (RJ)";"Canalizada, mas apenas no terreno";"1";"1";"-";"-";"-";"-";"-";"-";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Sem água canalizada";"4";"-";"1";"-";"3";"-";"-";"-";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Total";"59069";"38026";"14381";"1593";"40";"4655";"150";"6";"218"
"MU";"3304524";"Rio das Ostras (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"53880";"35740";"12550";"1490";"33";"3838";"117";"4";"108"
"MU";"3304524";"Rio das Ostras (RJ)";"Canalizada, mas apenas no terreno";"3395";"2286";"628";"47";"2";"386";"14";"1";"31"
"MU";"3304524";"Rio das Ostras (RJ)";"Sem água canalizada";"1794";"-";"1203";"56";"5";"431";"19";"1";"79"
"MU";"3304557";"Rio de Janeiro (RJ)";"Total";"2436971";"2396945";"18934";"1367";"9531";"979";"379";"1007";"7829"
"MU";"3304557";"Rio de Janeiro (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"2411994";"2379163";"16150";"1123";"8585";"702";"207";"960";"5104"
"MU";"3304557";"Rio de Janeiro (RJ)";"Canalizada, mas apenas no terreno";"20751";"17782";"1164";"92";"675";"80";"39";"25";"894"
"MU";"3304557";"Rio de Janeiro (RJ)";"Sem água canalizada";"4226";"-";"1620";"152";"271";"197";"133";"22";"1831"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Total";"3989";"2074";"285";"260";"1307";"-";"1";"54";"8"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"3946";"2069";"280";"258";"1280";"-";"1";"54";"4"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Canalizada, mas apenas no terreno";"16";"5";"3";"1";"6";"-";"-";"-";"1"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Sem água canalizada";"27";"-";"2";"1";"21";"-";"-";"-";"3"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Total";"15817";"13760";"985";"347";"676";"8";"1";"15";"25"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"15754";"13742";"970";"342";"669";"6";"-";"14";"11"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Canalizada, mas apenas no terreno";"28";"18";"5";"1";"4";"-";"-";"-";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Sem água canalizada";"35";"-";"10";"4";"3";"2";"1";"1";"14"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Total";"17278";"3895";"4439";"8621";"43";"4";"2";"6";"268"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"16759";"3841";"4326";"8325";"41";"4";"2";"5";"215"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Canalizada, mas apenas no terreno";"287";"54";"89";"128";"1";"-";"-";"-";"15"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Sem água canalizada";"232";"-";"24";"168";"1";"-";"-";"1";"38"
"MU";"3304805";"São Fidélis (RJ)";"Total";"14908";"11976";"1301";"170";"1112";"14";"5";"211";"119"
"MU";"3304805";"São Fidélis (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"14361";"11962";"1010";"120";"1029";"7";"2";"155";"76"
"MU";"3304805";"São Fidélis (RJ)";"Canalizada, mas apenas no terreno";"207";"14";"103";"31";"51";"-";"-";"4";"4"
"MU";"3304805";"São Fidélis (RJ)";"Sem água canalizada";"340";"-";"188";"19";"32";"7";"3";"52";"39"
"MU";"3304904";"São Gonçalo (RJ)";"Total";"358103";"302847";"35401";"6011";"225";"5427";"412";"91";"7689"
"MU";"3304904";"São Gonçalo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"333898";"291852";"28674";"4387";"148";"3334";"155";"72";"5276"
"MU";"3304904";"São Gonçalo (RJ)";"Canalizada, mas apenas no terreno";"15670";"10995";"2622";"640";"25";"443";"113";"9";"823"
"MU";"3304904";"São Gonçalo (RJ)";"Sem água canalizada";"8535";"-";"4105";"984";"52";"1650";"144";"10";"1590"
"MU";"3305000";"São João da Barra (RJ)";"Total";"14464";"11112";"1538";"1717";"17";"70";"-";"2";"8"
"MU";"3305000";"São João da Barra (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"14040";"11055";"1417";"1485";"16";"62";"-";"1";"4"
"MU";"3305000";"São João da Barra (RJ)";"Canalizada, mas apenas no terreno";"369";"57";"81";"226";"1";"4";"-";"-";"-"
"MU";"3305000";"São João da Barra (RJ)";"Sem água canalizada";"55";"-";"40";"6";"-";"4";"-";"1";"4"
"MU";"3305109";"São João de Meriti (RJ)";"Total";"168771";"154579";"11209";"595";"51";"373";"60";"26";"1878"
"MU";"3305109";"São João de Meriti (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"163034";"152125";"8980";"504";"39";"232";"14";"25";"1115"
"MU";"3305109";"São João de Meriti (RJ)";"Canalizada, mas apenas no terreno";"3691";"2454";"928";"50";"8";"58";"14";"-";"179"
"MU";"3305109";"São João de Meriti (RJ)";"Sem água canalizada";"2046";"-";"1301";"41";"4";"83";"32";"1";"584"
"MU";"3305133";"São José de Ubá (RJ)";"Total";"2682";"1610";"220";"620";"228";"3";"-";"-";"1"
"MU";"3305133";"São José de Ubá (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"2675";"1610";"220";"617";"227";"1";"-";"-";"-"
"MU";"3305133";"São José de Ubá (RJ)";"Canalizada, mas apenas no terreno";"2";"-";"-";"1";"-";"1";"-";"-";"-"
"MU";"3305133";"São José de Ubá (RJ)";"Sem água canalizada";"5";"-";"-";"2";"1";"1";"-";"-";"1"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"Total";"8263";"4368";"2457";"85";"1337";"3";"1";"8";"4"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"8212";"4354";"2432";"83";"1329";"3";"1";"8";"2"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"Canalizada, mas apenas no terreno";"29";"14";"8";"2";"3";"-";"-";"-";"2"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"Sem água canalizada";"22";"-";"17";"-";"5";"-";"-";"-";"-"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"Total";"38338";"36543";"599";"40";"16";"863";"46";"2";"229"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"36890";"35949";"463";"27";"15";"314";"13";"1";"108"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"Canalizada, mas apenas no terreno";"937";"594";"72";"3";"-";"246";"3";"-";"19"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"Sem água canalizada";"511";"-";"64";"10";"1";"303";"30";"1";"102"
"MU";"3305307";"São Sebastião do Alto (RJ)";"Total";"2926";"1552";"866";"45";"437";"-";"-";"15";"11"
"MU";"3305307";"São Sebastião do Alto (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"2900";"1546";"864";"44";"428";"-";"-";"13";"5"
"MU";"3305307";"São Sebastião do Alto (RJ)";"Canalizada, mas apenas no terreno";"11";"6";"2";"1";"2";"-";"-";"-";"-"
"MU";"3305307";"São Sebastião do Alto (RJ)";"Sem água canalizada";"15";"-";"-";"-";"7";"-";"-";"2";"6"
"MU";"3305406";"Sapucaia (RJ)";"Total";"6693";"4944";"736";"84";"841";"5";"1";"70";"12"
"MU";"3305406";"Sapucaia (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"6649";"4937";"732";"77";"824";"5";"1";"69";"4"
"MU";"3305406";"Sapucaia (RJ)";"Canalizada, mas apenas no terreno";"21";"7";"1";"7";"6";"-";"-";"-";"-"
"MU";"3305406";"Sapucaia (RJ)";"Sem água canalizada";"23";"-";"3";"-";"11";"-";"-";"1";"8"
"MU";"3305505";"Saquarema (RJ)";"Total";"34117";"17186";"14237";"733";"292";"1338";"191";"23";"117"
"MU";"3305505";"Saquarema (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"31798";"16784";"12788";"562";"274";"1155";"154";"17";"64"
"MU";"3305505";"Saquarema (RJ)";"Canalizada, mas apenas no terreno";"1201";"402";"647";"75";"5";"54";"6";"4";"8"
"MU";"3305505";"Saquarema (RJ)";"Sem água canalizada";"1118";"-";"802";"96";"13";"129";"31";"2";"45"
"MU";"3305554";"Seropédica (RJ)";"Total";"29321";"28168";"783";"93";"82";"40";"15";"10";"130"
"MU";"3305554";"Seropédica (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"28501";"27647";"587";"66";"78";"37";"10";"4";"72"
"MU";"3305554";"Seropédica (RJ)";"Canalizada, mas apenas no terreno";"657";"521";"107";"14";"2";"1";"1";"4";"7"
"MU";"3305554";"Seropédica (RJ)";"Sem água canalizada";"163";"-";"89";"13";"2";"2";"4";"2";"51"
"MU";"3305604";"Silva Jardim (RJ)";"Total";"7887";"3226";"3482";"407";"742";"-";"1";"7";"22"
"MU";"3305604";"Silva Jardim (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"7736";"3195";"3398";"389";"739";"-";"1";"7";"7"
"MU";"3305604";"Silva Jardim (RJ)";"Canalizada, mas apenas no terreno";"92";"31";"49";"7";"3";"-";"-";"-";"2"
"MU";"3305604";"Silva Jardim (RJ)";"Sem água canalizada";"59";"-";"35";"11";"-";"-";"-";"-";"13"
"MU";"3305703";"Sumidouro (RJ)";"Total";"5889";"1605";"1507";"179";"2584";"3";"-";"9";"2"
"MU";"3305703";"Sumidouro (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"5880";"1605";"1506";"174";"2581";"3";"-";"9";"2"
"MU";"3305703";"Sumidouro (RJ)";"Canalizada, mas apenas no terreno";"7";"-";"-";"5";"2";"-";"-";"-";"-"
"MU";"3305703";"Sumidouro (RJ)";"Sem água canalizada";"2";"-";"1";"-";"1";"-";"-";"-";"-"
"MU";"3305752";"Tanguá (RJ)";"Total";"11548";"4919";"3336";"2824";"237";"134";"4";"52";"42"
"MU";"3305752";"Tanguá (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"8708";"4059";"2533";"1780";"214";"62";"2";"41";"17"
"MU";"3305752";"Tanguá (RJ)";"Canalizada, mas apenas no terreno";"2599";"860";"662";"977";"20";"61";"-";"11";"8"
"MU";"3305752";"Tanguá (RJ)";"Sem água canalizada";"241";"-";"141";"67";"3";"11";"2";"-";"17"
"MU";"3305802";"Teresópolis (RJ)";"Total";"64415";"45078";"7043";"385";"11760";"20";"15";"27";"87"
"MU";"3305802";"Teresópolis (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"63765";"44958";"6915";"375";"11412";"18";"14";"25";"48"
